Sample,Sample_source_name,OGT,OGA
GSM1618415,cancer,-0.958767665211903,0.03683027004027617
GSM1618416,normal,0.7136709069277947,0.8420509684550777
GSM1618417,cancer,0.4715050154957666,0.17622311203224056
GSM1618418,normal,0.613050916267986,0.3433407626520448
GSM1618419,cancer,-0.9771592168421738,1.7724417300856905
GSM1618420,normal,-0.23440416414253995,0.2620883339004378
GSM1618421,cancer,1.0661861081414465,1.050443507482706
GSM1618422,normal,-0.3598182261127816,-0.09170328815638192
GSM1618423,cancer,0.48449836425844933,-2.1402639312054723
GSM1618424,normal,-0.9931027462417942,0.2461357577055629
GSM1618425,cancer,-0.2559342058121059,-0.4606786875553115
GSM1618426,normal,-0.5615603658386856,0.31148366019059276
GSM1618427,cancer,-0.30545957863218637,0.07930640665554554
GSM1618428,normal,0.7634473589510187,-0.5988702813398303
GSM1618429,cancer,-0.43156410841107284,-1.0897963987586172
GSM1618430,normal,0.5791552238435964,0.8572347457971877
GSM1618431,cancer,0.020127378044311584,-0.035677071761128366
GSM1618432,normal,-0.9059782627509557,0.06484337823790289
GSM1618433,cancer,0.6298104530778232,-1.2617670921365007
GSM1618434,normal,-1.671330443733516,0.8469520611414549
GSM1618435,cancer,0.7675901658028883,-1.1744603724193692
GSM1618436,normal,-0.8718942609242084,-0.1903497909517982
GSM1618437,cancer,3.0650276443678597,1.2623917412043726
GSM1618438,normal,-1.780110508495492,-1.3721858273648826
GSM1618439,cancer,0.9739145009861641,1.912267021432335
GSM1618440,normal,0.1590997169843091,-1.6482807153641332
